municipio,UF,Módulo fiscal (ha),,
Itaguaçu da Bahia,BA,65,,
Itaju do Colânia,BA,50,,
Itajuípe,BA,20,,
Itamaraju,BA,40,,
Itamari,BA,20,,
Itambé,BA,60,,
Itanagra,BA,30,,
Itanhém,BA,50,,
Itaparica,BA,7,,
Itapé,BA,20,,
Itapebi,BA,35,,
Itapetinga,BA,60,,
Itapicuru,BA,30,,
Itapitanga,BA,20,,
Itaquara,BA,35,,
Itarantim,BA,60,,
Itatim,BA,50,,
Itiruçu,BA,35,,
Itiúba,BA,50,,
Itororó,BA,30,,
Ituaçu,BA,65,,
Ituberá,BA,20,,
Iuiú,BA,65,,
Jaborandi,BA,65,,
Jacaraci,BA,65,,
Jacobina,BA,60,,
Jaguaquara,BA,35,,
Jaguarari,BA,65,,
Jaguaripe,BA,30,,
Jandaíra,BA,30,,
Jequié,BA,35,,
Jeremoabo,BA,70,,
Jiquiriçá,BA,35,,
Jitaúna,BA,35,,
João Dourado,BA,65,,
Juazeiro,BA,65,,
Jucuruçu,BA,40,,
Jussara,BA,65,,
Jussari,BA,20,,
Jussiape,BA,65,,
Lafaiete Coutinho,BA,35,,
Lagoa Real,BA,65,,
Laje,BA,35,,
Lajedão,BA,55,,
Lajedinho,BA,60,,
Lajedo do Tabocal,BA,35,,
Lamarão,BA,50,,
Lapão,BA,65,,
Lauro de Freitas,BA,7,,
Lençóis,BA,65,,
Licínio de Almeida,BA,65,,
Livramento de Nossa Senhora,BA,65,,
Luís Eduardo Magalhães,BA,65,,
Macajuba,BA,60,,
Macarani,BA,60,,
Macaúbas,BA,65,,
Macururé,BA,65,,
Madre de Deus,BA,5,,
Maetinga,BA,65,,
Maiquinique,BA,60,,
Mairi,BA,60,,
Malhada,BA,65,,
Malhada de Pedras,BA,65,,
Manoel Vitorino,BA,35,,
Mansidão,BA,65,,
Maracás,BA,35,,
Maragogipe,BA,30,,
Maraú,BA,20,,
Marcionílio Souza,BA,35,,
Mascote,BA,20,,
Mata de São João,BA,7,,
Matina,BA,65,,
Medeiros Neto,BA,55,,
Miguel Calmon,BA,60,,
Milagres,BA,35,,
Mirangaba,BA,65,,
Mirante,BA,35,,
Monte Santo,BA,50,,
Morpará,BA,65,,
Morro do Chapéu,BA,65,,
Mortugaba,BA,65,,
Mucugê,BA,65,,
Mucuri,BA,35,,
Mulungu do Morro,BA,65,,
Mundo Novo,BA,60,,
Muniz Ferreira,BA,30,,
Muquém de São Francisco,BA,65,,
Muritiba,BA,30,,
Mutuípe,BA,35,,
Nazaré,BA,30,,
Nilo Peçanha,BA,20,,
Nordestina,BA,50,,
Nova Canaã,BA,35,,
Nova Fátima,BA,50,,
Nova Ibiá,BA,20,,
Nova Itarana,BA,35,,
Nova Redenção,BA,65,,
Nova Soure,BA,30,,
Nova Viçosa,BA,35,,
Novo Horizonte,BA,65,,
Novo Triunfo,BA,30,,
Olindina,BA,30,,
Oliveira dos Brejinhos,BA,65,,
Ouriçangas,BA,30,,
Ourolândia,BA,60,,
Palmas de Monte Alto,BA,65,,
Palmeiras,BA,65,,
Paramirim,BA,65,,
Paratinga,BA,65,,
Paripiranga,BA,30,,
Pau Brasil,BA,35,,
Paulo Afonso,BA,70,,
Pé de Serra,BA,50,,
Pedrão,BA,30,,
Pedro Alexandre,BA,70,,
Piatã,BA,65,,
Pilão Arcado,BA,65,,
Pindaí,BA,65,,
Pindobaçu,BA,65,,
Pintadas,BA,60,,
Piraí do Norte,BA,20,,
Piripá,BA,65,,
Piritiba,BA,60,,
Planaltino,BA,35,,
Planalto,BA,35,,
Poç§es,BA,35,,
Pojuca,BA,7,,
Ponto Novo,BA,65,,
Porto Seguro,BA,35,,
Potiraguá,BA,50,,
Prado,BA,35,,
Presidente Dutra,BA,65,,
Presidente Jânio Quadros,BA,65,,
Presidente Tancredo Neves,BA,20,,
Queimadas,BA,50,,
Quijingue,BA,50,,
Quixabeira,BA,60,,
Rafael Jambeiro,BA,60,,
Remanso,BA,65,,
Retirolândia,BA,50,,
Riachão das Neves,BA,65,,
Riachão do Jacuípe,BA,50,,
Riacho de Santana,BA,65,,
Ribeira do Amparo,BA,30,,
Ribeira do Pombal,BA,30,,
Ribeirão do Largo,BA,50,,
Rio de Contas,BA,65,,
Rio do Antânio,BA,65,,
Rio do Pires,BA,65,,
Rio Real,BA,30,,
Rodelas,BA,65,,
Ruy Barbosa,BA,60,,
Salinas da Margarida,BA,30,,
Salvador,BA,5,,
Santa Bárbara,BA,50,,
Santa Brígida,BA,70,,
Santa Cruz Cabrália,BA,35,,
Santa Cruz da Vitória,BA,50,,
Santa Inês,BA,35,,
Santa Luzia,BA,20,,
Santa Maria da Vitória,BA,65,,
Santa Rita de Cássia,BA,65,,
Santa Teresinha,BA,50,,
Santaluz,BA,50,,
Santana,BA,65,,
Santanópolis,BA,50,,
Santo Amaro,BA,30,,
Santo Antânio de Jesus,BA,30,,
Santo Estêvão,BA,50,,
São Desidério,BA,65,,
São Domingos,BA,50,,
São Felipe,BA,30,,
São Félix,BA,30,,
São Félix do Coribe,BA,65,,
São Francisco do Conde,BA,7,,
São Gabriel,BA,65,,
São Gonçalo dos Campos,BA,30,,
São José da Vitória,BA,20,,
São José do Jacuípe,BA,60,,
São Miguel das Matas,BA,35,,
São Sebastião do Passé,BA,30,,
Sapeaçu,BA,30,,
Sátiro Dias,BA,30,,
Saubara,BA,30,,
Saúde,BA,65,,
Seabra,BA,65,,
Sebastião Laranjeiras,BA,65,,
Senhor do Bonfim,BA,65,,
Sento Sé,BA,65,,
Serra do Ramalho,BA,65,,
Serra Dourada,BA,65,,
Serra Preta,BA,50,,
Serrinha,BA,50,,
Serrolândia,BA,60,,
Sim§es Filho,BA,7,,
Sítio do Mato,BA,65,,
Sítio do Quinto,BA,70,,
Sobradinho,BA,65,,
Souto Soares,BA,65,,
Tabocas do Brejo Velho,BA,65,,
Tanhaçu,BA,65,,
Tanque Novo,BA,65,,
Tanquinho,BA,50,,
Taperoá,BA,20,,
Tapiramutá,BA,60,,
Teixeira de Freitas,BA,35,,
Teodoro Sampaio,BA,30,,
Teofilândia,BA,50,,
Teolândia,BA,20,,
Terra Nova,BA,30,,
Tremedal,BA,65,,
Tucano,BA,50,,
Uauá,BA,50,,
Ubaíra,BA,35,,
Ubaitaba,BA,20,,
Ubatã,BA,20,,
Uibaí,BA,65,,
Umburanas,BA,65,,
Una,BA,20,,
Urandi,BA,65,,
Uruçuca,BA,20,,
Utinga,BA,65,,
Valença,BA,20,,
Valente,BA,50,,
Várzea da Roça,BA,60,,
Várzea do Poço,BA,60,,
Várzea Nova,BA,60,,
Varzedo,BA,30,,
Vera Cruz,BA,7,,
Vereda,BA,35,,
Vitória da Conquista,BA,35,,
Wagner,BA,65,,
Wanderley,BA,65,,
Wenceslau Guimarães,BA,20,,
Xique-Xique,BA,65,,
Abaiara,CE,45,,
Acarape,CE,35,,
Acaraú,CE,55,,
Acopiara,CE,40,,
Aiuaba,CE,90,,
Alcântaras,CE,40,,
Altaneira,CE,50,,
Alto Santo,CE,55,,
Amontada,CE,50,,
Antonina do Norte,CE,50,,
Apuiarés,CE,50,,
Aquiraz,CE,10,,
Aracati,CE,45,,
Aracoiaba,CE,40,,
Ararendá,CE,70,,
Araripe,CE,65,,
Aratuba,CE,20,,
Arneiroz,CE,90,,
Assaré,CE,50,,
Aurora,CE,45,,
Baixio,CE,40,,
Banabuiú,CE,50,,
Barbalha,CE,26,,
Barreira,CE,35,,
Barro,CE,45,,
Barroquinha,CE,55,,
Baturité,CE,40,,
Beberibe,CE,28,,
Bela Cruz,CE,40,,
Boa Viagem,CE,50,,
Brejo Santo,CE,45,,
Camocim,CE,55,,
Campos Sales,CE,70,,
Canindé,CE,50,,
Capistrano,CE,45,,
Caridade,CE,50,,
Cariré,CE,55,,
Caririaçu,CE,45,,
Cariús,CE,40,,
Carnaubal,CE,50,,
Cascavel,CE,28,,
Catarina,CE,90,,
Catunda,CE,55,,
Caucaia,CE,15,,
Cedro,CE,40,,
Chaval,CE,55,,
Choró,CE,50,,
Chorozinho,CE,16,,
Coreaú,CE,55,,
Crateús,CE,80,,
Crato,CE,26,,
Croatá,CE,45,,
Cruz,CE,55,,
Deputado Irapuan Pinheiro,CE,55,,
Ererê,CE,55,,
Eusébio,CE,10,,
Farias Brito,CE,50,,
Forquilha,CE,50,,
Fortaleza,CE,5,,
Fortim,CE,45,,
Frecheirinha,CE,50,,
General Sampaio,CE,50,,
Graça,CE,40,,
Granja,CE,55,,
Granjeiro,CE,45,,
Groaíras,CE,55,,
Guaiúba,CE,15,,
Guaraciaba do Norte,CE,45,,
Guaramiranga,CE,20,,
Hidrolândia,CE,50,,
Horizonte,CE,16,,
Ibaretama,CE,50,,
Ibiapina,CE,45,,
Ibicuitinga,CE,55,,
Icapuí,CE,45,,
Icó,CE,40,,
Iguatu,CE,40,,
Independência,CE,80,,
Ipaporanga,CE,70,,
Ipaumirim,CE,40,,
Ipu,CE,50,,
Ipueiras,CE,70,,
Iracema,CE,60,,
Irauçuba,CE,55,,
Itaiçaba,CE,55,,
Itaitinga,CE,15,,
Itapagé,CE,45,,
Itapipoca,CE,50,,
Itapiúna,CE,45,,
Itarema,CE,55,,
Itatira,CE,50,,
Jaguaretama,CE,55,,
Jaguaribara,CE,55,,
Jaguaribe,CE,55,,
Jaguaruana,CE,55,,
Jardim,CE,26,,
Jati,CE,45,,
Jijoca de Jericoacoara,CE,55,,
Juazeiro do Norte,CE,26,,
Jucás,CE,40,,
Lavras da Mangabeira,CE,40,,
Limoeiro do Norte,CE,55,,
Madalena,CE,50,,
Maracanaú,CE,15,,
Maranguape,CE,15,,
Marco,CE,55,,
Martinópole,CE,55,,
Massapê,CE,50,,
Mauriti,CE,45,,
Meruoca,CE,40,,
Milagres,CE,45,,
Milhã,CE,55,,
Miraíma,CE,50,,
Missão Velha,CE,26,,
Mombaça,CE,40,,
Monsenhor Tabosa,CE,80,,
Morada Nova,CE,55,,
Moraújo,CE,55,,
Morrinhos,CE,65,,
Mucambo,CE,55,,
Mulungu,CE,20,,
Nova Olinda,CE,55,,
Nova Russas,CE,70,,
Novo Oriente,CE,80,,
Ocara,CE,40,,
Orós,CE,40,,
Pacajus,CE,16,,
Pacatuba,CE,15,,
Pacoti,CE,20,,
Pacujá,CE,55,,
Palhano,CE,55,,
Palmácia,CE,20,,
Paracuru,CE,45,,
Paraipaba,CE,45,,
Parambu,CE,90,,
Paramoti,CE,50,,
Pedra Branca,CE,50,,
